date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:38:17	21143/21143	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2012%20Jul%202016%2008:34:20%20GMT	http://themeperfect.me/legalpress/assets/js/magnific-popup.min.js	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/js/magnific-popup.min.js	(from http://themeperfect.me/legalpress/criminal-law.html)
23:38:24	37977/37977	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202016%2008:34:01%20GMT	http://themeperfect.me/legalpress/assets/images/49.jpg	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/49.jpg	(from http://themeperfect.me/legalpress/civil-rights-law.html)
23:38:35	152100/152100	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202016%2008:33:51%20GMT	http://themeperfect.me/legalpress/assets/images/35.jpg	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/35.jpg	(from http://themeperfect.me/legalpress/criminal-law.html)
23:38:40	103336/103336	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202016%2008:34:06%20GMT	http://themeperfect.me/legalpress/assets/images/6.jpg	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/6.jpg	(from http://themeperfect.me/legalpress/civil-rights-law.html)
23:38:49	50799/50799	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202016%2008:34:00%20GMT	http://themeperfect.me/legalpress/assets/images/48.jpg	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/48.jpg	(from http://themeperfect.me/legalpress/corporate-law.html)
23:38:54	115761/115761	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202016%2008:34:04%20GMT	http://themeperfect.me/legalpress/assets/images/50.jpg	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/50.jpg	(from http://themeperfect.me/legalpress/corporate-law.html)
23:39:00	68402/68402	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202016%2008:33:37%20GMT	http://themeperfect.me/legalpress/assets/images/22.jpg	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/22.jpg	(from http://themeperfect.me/legalpress/personal-injury-law.html)
23:39:04	60455/60455	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202016%2008:33:34%20GMT	http://themeperfect.me/legalpress/assets/images/201.jpg	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/201.jpg	(from http://themeperfect.me/legalpress/personal-injury-law.html)
23:39:07	39941/39941	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202016%2008:33:40%20GMT	http://themeperfect.me/legalpress/assets/images/28.jpg	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/28.jpg	(from http://themeperfect.me/legalpress/bankruptcy-law.html)
23:39:19	68782/68782	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202016%2008:33:49%20GMT	http://themeperfect.me/legalpress/assets/images/33.jpg	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/33.jpg	(from http://themeperfect.me/legalpress/family-law.html)
